"Date","Price","Open","High","Low","Vol.","Change %"
"03/25/2025","65.384903","64.782997","65.642250","64.490250","","1.24%"
"03/24/2025","64.583801","65.298599","65.485703","64.458054","","-0.79%"
"03/21/2025","65.096603","65.642601","65.666451","63.946098","","-0.74%"
"03/20/2025","65.582703","64.982697","66.338150","64.597549","","1.01%"
"03/19/2025","64.929001","63.197300","65.100548","62.999149","","2.79%"
"03/18/2025","63.169399","64.424202","65.015549","62.587898","","-1.74%"
"03/17/2025","64.287697","66.006851","66.296700","64.233498","","-2.56%"
"03/14/2025","65.977898","66.663452","67.243149","65.759003","","-1.12%"
"03/13/2025","66.727600","67.453499","67.609947","64.531700","","-1.03%"
"03/12/2025","67.423897","66.211998","67.531448","66.115349","","1.88%"
"03/11/2025","66.182899","67.715752","68.710548","65.817047","","-2.22%"
"03/10/2025","67.686096","69.551147","69.551147","67.515549","","-2.38%"
"03/07/2025","69.333900","68.894150","70.793251","67.220047","","0.68%"
"03/06/2025","68.863998","70.075447","70.237953","68.793900","","-1.35%"
"03/05/2025","69.803398","69.555649","70.117302","69.032753","","0.49%"
"03/04/2025","69.462402","69.549950","69.739601","68.822952","","-0.08%"
"03/03/2025","69.519501","69.336304","69.924698","68.897949","","0.31%"
"02/28/2025","69.305901","68.103951","69.433250","67.800499","","1.81%"
"02/27/2025","68.073997","67.410950","68.563904","66.981003","","1.03%"
"02/26/2025","67.381302","67.211899","67.641548","66.262802","","0.30%"
"02/25/2025","67.182297","68.023651","68.284851","66.823799","","-1.19%"
"02/24/2025","67.993797","68.518700","69.147552","67.824997","","-0.35%"
"02/21/2025","68.230904","68.581200","69.317947","67.446251","","-0.13%"
"02/20/2025","68.317902","69.208298","69.326347","67.897247","","-0.75%"
"02/19/2025","68.832901","70.584900","70.750397","67.762100","","-2.31%"
"02/18/2025","70.460800","70.486252","71.328049","70.033501","","0.01%"
"02/17/2025","70.455597","70.133049","71.138847","69.827751","","0.50%"
"02/14/2025","70.102600","68.826897","71.163651","68.750000","","2.38%"
"02/13/2025","68.472900","72.368500","72.584450","68.359451","","-5.34%"
"02/12/2025","72.337196","74.345200","74.345200","71.675652","","-2.66%"
"02/11/2025","74.313103","74.487701","74.977249","73.501999","","-0.19%"
"02/10/2025","74.455498","74.862953","75.795601","74.436249","","-0.32%"
"02/07/2025","74.695198","74.596100","75.582550","74.380653","","0.18%"
"02/06/2025","74.563904","75.469803","75.644897","74.295403","","-1.16%"
"02/05/2025","75.437302","77.468002","77.468002","74.845100","","-2.58%"
"02/04/2025","77.434700","76.760551","77.468002","76.095398","","0.84%"
"02/03/2025","76.786301","75.972702","77.361900","75.771004","","1.11%"
"01/31/2025","75.940002","76.020599","76.332298","75.333702","","-0.06%"
"01/30/2025","75.987801","76.532501","76.532501","75.129547","","-0.67%"
"01/29/2025","76.499496","75.529953","77.014450","75.246948","","1.33%"
"01/28/2025","75.497398","75.116051","76.099602","74.834503","","0.55%"
"01/27/2025","75.083603","75.351700","75.921951","74.347847","","-0.19%"
"01/24/2025","75.227303","76.950401","76.950401","75.190399","","-2.20%"
"01/23/2025","76.917297","76.404900","77.270897","75.725151","","0.84%"
"01/22/2025","76.276299","76.630150","76.861397","73.934601","","-0.42%"
"01/21/2025","76.597198","77.841454","78.504250","76.358498","","-1.56%"
"01/20/2025","77.807999","79.046753","79.245453","77.841454","","-1.52%"
"01/17/2025","79.012802","79.087547","79.755249","78.346497","","-0.05%"
"01/16/2025","79.049301","79.077202","79.997749","78.800797","","0.06%"
"01/15/2025","79.003098","79.159348","79.795349","78.600304","","0.02%"
"01/14/2025","78.986000","79.208504","79.978447","78.013649","","-0.24%"
"01/13/2025","79.174500","78.528954","79.670303","78.202454","","0.87%"
"01/10/2025","78.495201","78.897301","79.342247","78.187302","","-0.62%"
"01/09/2025","78.981796","80.614151","80.847702","78.398247","","-1.98%"
"01/08/2025","80.579597","82.947998","82.947998","80.382652","","-2.68%"
"01/07/2025","82.795197","83.139252","83.181053","82.176903","","-0.37%"
