"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.03.2025","12.960,00","12.983,41","12.983,41","12.923,70","","0,29%"
"24.03.2025","12.922,30","12.940,55","12.976,94","12.903,72","","0,02%"
"21.03.2025","12.920,00","12.937,50","12.957,79","12.932,78","","-0,02%"
"20.03.2025","12.922,60","12.926,51","12.967,97","12.896,70","","0,11%"
"19.03.2025","12.908,50","12.935,68","12.976,49","12.896,70","","-0,17%"
"18.03.2025","12.930,68","12.953,20","12.978,16","12.905,84","","0,08%"
"17.03.2025","12.920,00","12.953,20","12.983,09","12.912,64","","-0,22%"
"14.03.2025","12.948,20","12.938,11","12.983,09","12.908,27","","0,26%"
"13.03.2025","12.915,00","12.920,00","12.959,55","12.890,20","","0,00%"
"12.03.2025","12.915,00","12.931,94","12.950,97","12.912,50","","-0,09%"
"11.03.2025","12.926,94","12.940,11","12.969,96","12.902,11","","-0,06%"
"10.03.2025","12.935,11","12.940,11","12.960,00","12.907,70","","-0,04%"
"07.03.2025","12.940,00","12.918,36","12.960,00","12.911,68","","0,21%"
"06.03.2025","12.913,36","12.900,37","12.948,16","12.870,62","","0,10%"
"05.03.2025","12.900,00","12.903,33","12.933,93","12.870,62","","0,16%"
"04.03.2025","12.880,00","12.897,20","12.933,09","12.863,91","","-0,09%"
"03.03.2025","12.892,20","12.890,07","12.927,55","12.863,89","","0,06%"
"28.02.2025","12.885,07","12.877,37","12.940,00","12.847,68","","0,10%"
"27.02.2025","12.872,37","12.879,95","12.945,55","12.847,68","","-0,02%"
"26.02.2025","12.874,95","12.884,62","12.922,02","12.850,25","","-0,04%"
"25.02.2025","12.879,62","12.899,91","12.937,84","12.862,52","","-0,12%"
"24.02.2025","12.894,91","12.916,18","12.962,98","12.870,16","","0,12%"
"21.02.2025","12.880,00","12.929,92","12.969,85","12.886,39","","-0,25%"
"20.02.2025","12.912,00","12.950,03","12.990,04","12.900,10","","-0,10%"
"19.02.2025","12.925,00","12.970,19","13.005,68","12.920,16","","-0,21%"
"18.02.2025","12.952,20","12.981,25","13.018,13","12.940,27","","-0,19%"
"17.02.2025","12.976,25","12.993,15","13.023,14","12.951,30","","-0,09%"
"14.02.2025","12.988,15","13.003,95","13.028,56","12.963,17","","0,15%"
"13.02.2025","12.969,00","12.989,07","13.027,14","12.950,57","","-0,12%"
"12.02.2025","12.984,07","12.979,99","13.019,69","12.954,56","","0,07%"
"11.02.2025","12.974,99","12.971,93","13.009,94","12.934,58","","0,06%"
"10.02.2025","12.966,93","12.957,00","13.001,31","12.927,11","","0,22%"
"07.02.2025","12.939,00","12.969,84","13.007,55","12.927,11","","-0,20%"
"06.02.2025","12.964,84","12.985,32","13.022,11","12.939,92","","-0,12%"
"05.02.2025","12.980,32","12.998,91","13.028,91","12.950,25","","-0,10%"
"04.02.2025","12.993,91","12.995,00","13.021,93","12.955,05","","0,11%"
"03.02.2025","12.980,01","12.975,05","13.014,98","12.945,11","","0,08%"
"31.01.2025","12.970,05","12.957,01","13.005,63","12.936,09","","0,14%"
"30.01.2025","12.952,01","12.968,34","12.992,57","12.927,12","","-0,09%"
"29.01.2025","12.963,34","12.974,98","13.004,92","12.935,90","","-0,05%"
"28.01.2025","12.969,98","12.963,27","12.985,00","12.963,27","","0,09%"
"27.01.2025","12.958,27","12.979,13","13.001,11","12.933,36","","0,06%"
"24.01.2025","12.950,00","12.979,13","13.004,02","12.944,17","","-0,19%"
"23.01.2025","12.974,13","12.990,00","13.014,52","12.949,18","","0,02%"
"22.01.2025","12.972,00","12.984,44","13.019,98","12.945,81","","-0,06%"
"21.01.2025","12.979,44","12.975,09","13.014,40","12.945,15","","0,07%"
"20.01.2025","12.970,09","12.967,00","13.005,03","12.934,60","","0,06%"
"17.01.2025","12.962,00","12.955,26","12.996,92","12.925,37","","0,09%"
"16.01.2025","12.950,26","12.962,01","12.996,98","12.925,37","","0,05%"
"15.01.2025","12.944,00","12.971,00","13.000,93","12.932,11","","-0,03%"
"14.01.2025","12.948,00","12.972,08","13.002,01","12.925,87","","-0,15%"
"13.01.2025","12.967,08","12.957,00","13.002,01","12.927,11","","0,12%"
"10.01.2025","12.952,00","12.960,00","12.989,90","12.910,59","","0,13%"
"09.01.2025","12.935,44","12.962,98","12.993,90","12.910,59","","-0,17%"
"08.01.2025","12.957,98","12.930,11","12.993,49","12.916,72","","0,11%"
"07.01.2025","12.943,10","12.930,11","12.977,97","12.887,75","","0,14%"
"06.01.2025","12.925,11","12.915,18","12.965,92","12.880,29","","0,12%"
"03.01.2025","12.910,18","12.905,90","12.947,63","12.875,65","","0,07%"
"02.01.2025","12.900,90","12.904,91","12.906,60","12.898,46","","0,01%"
"01.01.2025","12.899,91","12.904,91","12.904,91","12.904,91","","0,00%"
"31.12.2024","12.899,91","12.904,90","12.904,91","12.904,90","","0,10%"
"30.12.2024","12.887,00","12.904,91","12.943,11","12.876,45","","-0,10%"
"27.12.2024","12.899,91","12.928,27","12.958,09","12.882,90","","-0,18%"
"26.12.2024","12.923,27","12.928,27","12.958,09","12.888,14","","0,46%"
"25.12.2024","12.863,63","12.909,80","12.948,86","12.876,15","","-0,32%"
"24.12.2024","12.904,80","12.902,00","12.939,58","12.867,80","","0,06%"
"23.12.2024","12.897,00","12.893,07","12.931,76","12.849,40","","0,07%"
"20.12.2024","12.888,07","12.875,06","12.922,81","12.854,33","","0,14%"
"19.12.2024","12.870,06","12.861,83","12.904,75","12.832,18","","0,10%"
"18.12.2024","12.856,83","12.869,90","12.895,52","12.832,18","","-0,06%"
"17.12.2024","12.864,90","12.874,86","12.904,55","12.840,22","","-0,04%"
"16.12.2024","12.869,86","12.880,00","12.908,35","12.845,18","","-0,04%"
"13.12.2024","12.875,00","12.860,09","12.899,70","12.830,44","","0,15%"
"12.12.2024","12.855,09","12.874,02","12.899,51","12.830,44","","-0,11%"
"11.12.2024","12.869,02","12.874,02","12.899,51","12.840,18","","0,00%"
"10.12.2024","12.869,02","12.861,25","12.904,31","12.819,58","","0,10%"
"09.12.2024","12.856,25","12.861,25","12.861,88","12.854,78","","0,00%"
"06.12.2024","12.856,25","12.837,10","12.878,77","12.796,52","","0,29%"
"05.12.2024","12.819,20","12.817,85","12.866,70","12.797,88","","0,05%"
"04.12.2024","12.812,85","12.852,00","12.868,28","12.789,65","","-0,27%"
"03.12.2024","12.847,00","12.825,43","12.868,90","12.805,65","","0,13%"
"02.12.2024","12.830,00","12.838,33","12.866,90","12.832,07","","-0,13%"
"29.11.2024","12.847,00","12.848,38","12.889,69","12.813,92","","0,03%"
"28.11.2024","12.843,38","12.843,38","12.843,38","12.843,38","","0,00%"
"27.11.2024","12.843,38","12.843,38","12.843,38","12.843,38","","0,22%"
"26.11.2024","12.815,47","12.815,47","12.815,47","12.815,47","","0,04%"
"25.11.2024","12.809,78","12.809,78","12.809,78","12.809,78","","0,08%"
"22.11.2024","12.800,00","12.800,00","12.800,00","12.800,00","","-0,31%"
"21.11.2024","12.839,21","12.839,21","12.839,21","12.839,21","","-0,09%"
"20.11.2024","12.850,93","12.850,93","12.850,93","12.850,93","","0,09%"
"19.11.2024","12.840,00","12.840,00","12.840,00","12.840,00","","0,16%"
"18.11.2024","12.820,01","12.820,01","12.820,01","12.820,01","","0,10%"
"15.11.2024","12.807,30","12.807,30","12.807,30","12.807,30","","0,20%"
"14.11.2024","12.782,30","12.782,30","12.782,30","12.782,30","","-0,16%"
"13.11.2024","12.803,03","12.803,03","12.803,03","12.803,03","","0,18%"
"12.11.2024","12.780,00","12.780,00","12.780,00","12.780,00","","-0,15%"
"11.11.2024","12.798,81","12.798,81","12.798,81","12.798,81","","-0,15%"
"08.11.2024","12.818,00","12.818,00","12.818,00","12.818,00","","0,28%"
"07.11.2024","12.781,98","12.781,98","12.781,98","12.781,98","","0,00%"
"06.11.2024","12.781,98","12.781,98","12.781,98","12.781,98","","0,09%"
"05.11.2024","12.769,98","12.769,98","12.769,98","12.769,98","","-0,12%"
"04.11.2024","12.785,12","12.785,12","12.785,12","12.785,12","","-0,04%"
"01.11.2024","12.790,02","12.790,02","12.790,02","12.790,02","","0,12%"
"31.10.2024","12.775,09","12.775,09","12.775,09","12.775,09","","0,05%"
"30.10.2024","12.769,34","12.769,34","12.769,34","12.769,34","","-0,08%"
